time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],lwe_thickness_of_precipitation_amount[unit="mm day-1"]
1970-01-01T00:00:00Z,-17.74,145.629,3.34641170501709
1970-01-02T00:00:00Z,-17.74,145.629,1.7243252992630005
1970-01-03T00:00:00Z,-17.74,145.629,0.0
1970-01-04T00:00:00Z,-17.74,145.629,0.0
1970-01-05T00:00:00Z,-17.74,145.629,0.0
1970-01-06T00:00:00Z,-17.74,145.629,0.0
1970-01-07T00:00:00Z,-17.74,145.629,0.0
1970-01-08T00:00:00Z,-17.74,145.629,0.0
1970-01-09T00:00:00Z,-17.74,145.629,0.0
1970-01-10T00:00:00Z,-17.74,145.629,0.0
1970-01-11T00:00:00Z,-17.74,145.629,0.0
1970-01-12T00:00:00Z,-17.74,145.629,0.0
1970-01-13T00:00:00Z,-17.74,145.629,0.0
1970-01-14T00:00:00Z,-17.74,145.629,0.0
1970-01-15T00:00:00Z,-17.74,145.629,0.04462511092424393
1970-01-16T00:00:00Z,-17.74,145.629,1.6454496383666992
1970-01-17T00:00:00Z,-17.74,145.629,3.364659547805786
1970-01-18T00:00:00Z,-17.74,145.629,0.4898949861526489
1970-01-19T00:00:00Z,-17.74,145.629,4.657660007476807
1970-01-20T00:00:00Z,-17.74,145.629,8.882733345031738
1970-01-21T00:00:00Z,-17.74,145.629,34.58890151977539
1970-01-22T00:00:00Z,-17.74,145.629,0.1159253716468811
1970-01-23T00:00:00Z,-17.74,145.629,0.0
1970-01-24T00:00:00Z,-17.74,145.629,0.0
1970-01-25T00:00:00Z,-17.74,145.629,0.0
1970-01-26T00:00:00Z,-17.74,145.629,0.0
1970-01-27T00:00:00Z,-17.74,145.629,0.0
1970-01-28T00:00:00Z,-17.74,145.629,0.0
1970-01-29T00:00:00Z,-17.74,145.629,0.0
1970-01-30T00:00:00Z,-17.74,145.629,19.109830856323242
1970-01-31T00:00:00Z,-17.74,145.629,2.653334140777588
1970-02-01T00:00:00Z,-17.74,145.629,7.575084686279297
1970-02-02T00:00:00Z,-17.74,145.629,6.1224141120910645
1970-02-03T00:00:00Z,-17.74,145.629,10.021906852722168
1970-02-04T00:00:00Z,-17.74,145.629,39.833099365234375
1970-02-05T00:00:00Z,-17.74,145.629,43.23902893066406
1970-02-06T00:00:00Z,-17.74,145.629,31.167098999023438
1970-02-07T00:00:00Z,-17.74,145.629,19.97016143798828
1970-02-08T00:00:00Z,-17.74,145.629,73.8406982421875
1970-02-09T00:00:00Z,-17.74,145.629,42.78939437866211
1970-02-10T00:00:00Z,-17.74,145.629,24.211637496948242
1970-02-11T00:00:00Z,-17.74,145.629,15.186419486999512
1970-02-12T00:00:00Z,-17.74,145.629,4.780598163604736
1970-02-13T00:00:00Z,-17.74,145.629,7.21787691116333
1970-02-14T00:00:00Z,-17.74,145.629,0.03779999539256096
1970-02-15T00:00:00Z,-17.74,145.629,0.0
1970-02-16T00:00:00Z,-17.74,145.629,0.0
1970-02-17T00:00:00Z,-17.74,145.629,0.17356474697589874
1970-02-18T00:00:00Z,-17.74,145.629,11.141249656677246
1970-02-19T00:00:00Z,-17.74,145.629,0.4020104706287384
1970-02-20T00:00:00Z,-17.74,145.629,0.0
1970-02-21T00:00:00Z,-17.74,145.629,0.0
1970-02-22T00:00:00Z,-17.74,145.629,0.0
1970-02-23T00:00:00Z,-17.74,145.629,1.3032861948013306
1970-02-24T00:00:00Z,-17.74,145.629,2.8538849353790283
1970-02-25T00:00:00Z,-17.74,145.629,6.340212821960449
1970-02-26T00:00:00Z,-17.74,145.629,8.337813377380371
1970-02-27T00:00:00Z,-17.74,145.629,1.7443907260894775
1970-02-28T00:00:00Z,-17.74,145.629,2.835904598236084
