"Name.used.in.this.project","Number","Region","Catchment.area.smaller.250km2.","Latitude","Longitude","Rain.St","HQTmax.st"
"COTT","410730","ACT",130,-35.592,148.821,70316,70351
"RUTH","219001","NSW",14,-36.593,149.442,69003,70351
"CORA","215004","NSW",166,-35.147,150.033,69049,68072
"ELIZ","G8150018","NT",96,-12.606,131.074,14149,14015
"COCH","113004A","QLD",95,-17.74,145.629,31083,34084
"COEN","922101B","QLD",170,-13.956,143.175,27005,27045
"SCOT","A5030502","SA",29,-35.099,138.673,23734,23373
"HELL","312061","TAS",101,-41.419,145.67,96023,96003
"NIVE","304497","TAS",174,-42.031,146.42,91065,96003
"MURR","405205","VIC",106,-37.414,145.564,88028,85072
"SOUT","225020A","VIC",10,-37.833,146.354,85238,85072
"YARR","614044","WA",80,-32.812,116.155,9538,9021
"DOMB","607155","WA",116,-34.579,115.972,9590,9518
