time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],lwe_thickness_of_precipitation_amount[unit="mm day-1"]
1970-01-01T00:00:00Z,-34.579,115.972,0.0
1970-01-02T00:00:00Z,-34.579,115.972,0.0
1970-01-03T00:00:00Z,-34.579,115.972,0.0
1970-01-04T00:00:00Z,-34.579,115.972,0.0
1970-01-05T00:00:00Z,-34.579,115.972,0.0
1970-01-06T00:00:00Z,-34.579,115.972,0.0
1970-01-07T00:00:00Z,-34.579,115.972,0.0
1970-01-08T00:00:00Z,-34.579,115.972,0.0
1970-01-09T00:00:00Z,-34.579,115.972,0.0
1970-01-10T00:00:00Z,-34.579,115.972,0.0
1970-01-11T00:00:00Z,-34.579,115.972,0.0
1970-01-12T00:00:00Z,-34.579,115.972,0.0
1970-01-13T00:00:00Z,-34.579,115.972,0.0
1970-01-14T00:00:00Z,-34.579,115.972,0.0
1970-01-15T00:00:00Z,-34.579,115.972,3.22525954246521
1970-01-16T00:00:00Z,-34.579,115.972,1.4277938604354858
1970-01-17T00:00:00Z,-34.579,115.972,0.0
1970-01-18T00:00:00Z,-34.579,115.972,0.0
1970-01-19T00:00:00Z,-34.579,115.972,0.0
1970-01-20T00:00:00Z,-34.579,115.972,0.0
1970-01-21T00:00:00Z,-34.579,115.972,0.0
1970-01-22T00:00:00Z,-34.579,115.972,0.0
1970-01-23T00:00:00Z,-34.579,115.972,0.0
1970-01-24T00:00:00Z,-34.579,115.972,0.0
1970-01-25T00:00:00Z,-34.579,115.972,0.0
1970-01-26T00:00:00Z,-34.579,115.972,0.0
1970-01-27T00:00:00Z,-34.579,115.972,0.014085276983678341
1970-01-28T00:00:00Z,-34.579,115.972,0.5551600456237793
1970-01-29T00:00:00Z,-34.579,115.972,0.0
1970-01-30T00:00:00Z,-34.579,115.972,0.0
1970-01-31T00:00:00Z,-34.579,115.972,0.0
1970-02-01T00:00:00Z,-34.579,115.972,0.0
1970-02-02T00:00:00Z,-34.579,115.972,0.0
1970-02-03T00:00:00Z,-34.579,115.972,0.0
1970-02-04T00:00:00Z,-34.579,115.972,0.0
1970-02-05T00:00:00Z,-34.579,115.972,12.364062309265137
1970-02-06T00:00:00Z,-34.579,115.972,11.45601749420166
1970-02-07T00:00:00Z,-34.579,115.972,10.8658447265625
1970-02-08T00:00:00Z,-34.579,115.972,0.22289171814918518
1970-02-09T00:00:00Z,-34.579,115.972,0.0
1970-02-10T00:00:00Z,-34.579,115.972,0.0
1970-02-11T00:00:00Z,-34.579,115.972,0.0
1970-02-12T00:00:00Z,-34.579,115.972,0.0
1970-02-13T00:00:00Z,-34.579,115.972,0.0
1970-02-14T00:00:00Z,-34.579,115.972,0.0
1970-02-15T00:00:00Z,-34.579,115.972,0.0
1970-02-16T00:00:00Z,-34.579,115.972,0.855228841304779
1970-02-17T00:00:00Z,-34.579,115.972,25.796085357666016
1970-02-18T00:00:00Z,-34.579,115.972,0.3887193500995636
1970-02-19T00:00:00Z,-34.579,115.972,0.0
1970-02-20T00:00:00Z,-34.579,115.972,0.0
1970-02-21T00:00:00Z,-34.579,115.972,0.0
1970-02-22T00:00:00Z,-34.579,115.972,0.0
1970-02-23T00:00:00Z,-34.579,115.972,0.0
1970-02-24T00:00:00Z,-34.579,115.972,0.0
1970-02-25T00:00:00Z,-34.579,115.972,0.0
1970-02-26T00:00:00Z,-34.579,115.972,0.06728185713291168
1970-02-27T00:00:00Z,-34.579,115.972,0.0
1970-02-28T00:00:00Z,-34.579,115.972,0.0
1970-03-01T00:00:00Z,-34.579,115.972,0.0
1970-03-02T00:00:00Z,-34.579,115.972,0.2680104374885559
1970-03-03T00:00:00Z,-34.579,115.972,0.19998128712177277
1970-03-04T00:00:00Z,-34.579,115.972,0.016154874116182327
1970-03-05T00:00:00Z,-34.579,115.972,0.0
1970-03-06T00:00:00Z,-34.579,115.972,0.0
1970-03-07T00:00:00Z,-34.579,115.972,1.3512680530548096
1970-03-08T00:00:00Z,-34.579,115.972,0.0
1970-03-09T00:00:00Z,-34.579,115.972,0.0
1970-03-10T00:00:00Z,-34.579,115.972,0.0
1970-03-11T00:00:00Z,-34.579,115.972,0.0
1970-03-12T00:00:00Z,-34.579,115.972,0.0
1970-03-13T00:00:00Z,-34.579,115.972,0.0
1970-03-14T00:00:00Z,-34.579,115.972,1.6845182180404663
1970-03-15T00:00:00Z,-34.579,115.972,3.3017611503601074
1970-03-16T00:00:00Z,-34.579,115.972,1.9062695503234863
1970-03-17T00:00:00Z,-34.579,115.972,0.0
1970-03-18T00:00:00Z,-34.579,115.972,0.0011063781566917896
1970-03-19T00:00:00Z,-34.579,115.972,0.0
1970-03-20T00:00:00Z,-34.579,115.972,0.0
1970-03-21T00:00:00Z,-34.579,115.972,0.0
1970-03-22T00:00:00Z,-34.579,115.972,0.0
1970-03-23T00:00:00Z,-34.579,115.972,0.0
1970-03-24T00:00:00Z,-34.579,115.972,1.101538896560669
1970-03-25T00:00:00Z,-34.579,115.972,0.0
1970-03-26T00:00:00Z,-34.579,115.972,0.0
