time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],lwe_thickness_of_precipitation_amount[unit="mm day-1"]
1970-01-01T00:00:00Z,-41.419,145.67,1.5283825397491455
1970-01-02T00:00:00Z,-41.419,145.67,0.6742044687271118
1970-01-03T00:00:00Z,-41.419,145.67,13.599658966064453
1970-01-04T00:00:00Z,-41.419,145.67,18.52886962890625
1970-01-05T00:00:00Z,-41.419,145.67,22.736791610717773
1970-01-06T00:00:00Z,-41.419,145.67,0.38086798787117004
1970-01-07T00:00:00Z,-41.419,145.67,2.0731027126312256
1970-01-08T00:00:00Z,-41.419,145.67,2.6339147090911865
1970-01-09T00:00:00Z,-41.419,145.67,0.4016360342502594
1970-01-10T00:00:00Z,-41.419,145.67,0.0
1970-01-11T00:00:00Z,-41.419,145.67,1.950972557067871
1970-01-12T00:00:00Z,-41.419,145.67,8.149136543273926
1970-01-13T00:00:00Z,-41.419,145.67,2.968782424926758
1970-01-14T00:00:00Z,-41.419,145.67,0.541017472743988
1970-01-15T00:00:00Z,-41.419,145.67,0.0
1970-01-16T00:00:00Z,-41.419,145.67,0.0
1970-01-17T00:00:00Z,-41.419,145.67,1.4569958448410034
1970-01-18T00:00:00Z,-41.419,145.67,1.2428276538848877
1970-01-19T00:00:00Z,-41.419,145.67,4.408372402191162
1970-01-20T00:00:00Z,-41.419,145.67,2.214883804321289
1970-01-21T00:00:00Z,-41.419,145.67,0.4494573771953583
1970-01-22T00:00:00Z,-41.419,145.67,0.26851481199264526
1970-01-23T00:00:00Z,-41.419,145.67,0.0
1970-01-24T00:00:00Z,-41.419,145.67,0.0
1970-01-25T00:00:00Z,-41.419,145.67,0.0
1970-01-26T00:00:00Z,-41.419,145.67,0.0
1970-01-27T00:00:00Z,-41.419,145.67,0.0
1970-01-28T00:00:00Z,-41.419,145.67,0.0
1970-01-29T00:00:00Z,-41.419,145.67,0.0
1970-01-30T00:00:00Z,-41.419,145.67,0.0
1970-01-31T00:00:00Z,-41.419,145.67,0.0
1970-02-01T00:00:00Z,-41.419,145.67,0.0
1970-02-02T00:00:00Z,-41.419,145.67,0.0
1970-02-03T00:00:00Z,-41.419,145.67,0.0
1970-02-04T00:00:00Z,-41.419,145.67,0.0
1970-02-05T00:00:00Z,-41.419,145.67,0.0
1970-02-06T00:00:00Z,-41.419,145.67,0.8500579595565796
1970-02-07T00:00:00Z,-41.419,145.67,0.04079217091202736
1970-02-08T00:00:00Z,-41.419,145.67,0.05361953377723694
1970-02-09T00:00:00Z,-41.419,145.67,1.370540738105774
1970-02-10T00:00:00Z,-41.419,145.67,4.125075340270996
1970-02-11T00:00:00Z,-41.419,145.67,0.0
1970-02-12T00:00:00Z,-41.419,145.67,0.0
1970-02-13T00:00:00Z,-41.419,145.67,0.0
1970-02-14T00:00:00Z,-41.419,145.67,0.0
1970-02-15T00:00:00Z,-41.419,145.67,0.0
1970-02-16T00:00:00Z,-41.419,145.67,0.0
1970-02-17T00:00:00Z,-41.419,145.67,0.0
1970-02-18T00:00:00Z,-41.419,145.67,0.0
1970-02-19T00:00:00Z,-41.419,145.67,0.0
1970-02-20T00:00:00Z,-41.419,145.67,4.914100170135498
1970-02-21T00:00:00Z,-41.419,145.67,7.268176078796387
1970-02-22T00:00:00Z,-41.419,145.67,2.464176654815674
1970-02-23T00:00:00Z,-41.419,145.67,1.080949068069458
1970-02-24T00:00:00Z,-41.419,145.67,0.0
1970-02-25T00:00:00Z,-41.419,145.67,1.2058748006820679
1970-02-26T00:00:00Z,-41.419,145.67,0.2610188126564026
1970-02-27T00:00:00Z,-41.419,145.67,1.6485238075256348
1970-02-28T00:00:00Z,-41.419,145.67,0.0
1970-03-01T00:00:00Z,-41.419,145.67,0.0
1970-03-02T00:00:00Z,-41.419,145.67,0.0
1970-03-03T00:00:00Z,-41.419,145.67,0.0
1970-03-04T00:00:00Z,-41.419,145.67,0.0
1970-03-05T00:00:00Z,-41.419,145.67,1.0237400531768799
1970-03-06T00:00:00Z,-41.419,145.67,0.032691847532987595
1970-03-07T00:00:00Z,-41.419,145.67,0.0
1970-03-08T00:00:00Z,-41.419,145.67,0.0
1970-03-09T00:00:00Z,-41.419,145.67,0.0
1970-03-10T00:00:00Z,-41.419,145.67,0.0
1970-03-11T00:00:00Z,-41.419,145.67,14.572409629821777
1970-03-12T00:00:00Z,-41.419,145.67,8.882349967956543
1970-03-13T00:00:00Z,-41.419,145.67,5.751051902770996
1970-03-14T00:00:00Z,-41.419,145.67,0.0
1970-03-15T00:00:00Z,-41.419,145.67,0.0
1970-03-16T00:00:00Z,-41.419,145.67,0.0
1970-03-17T00:00:00Z,-41.419,145.67,0.0
1970-03-18T00:00:00Z,-41.419,145.67,3.5700244903564453
1970-03-19T00:00:00Z,-41.419,145.67,0.0
1970-03-20T00:00:00Z,-41.419,145.67,1.974715232849121
1970-03-21T00:00:00Z,-41.419,145.67,16.459877014160156
1970-03-22T00:00:00Z,-41.419,145.67,1.2935364246368408
1970-03-23T00:00:00Z,-41.419,145.67,0.6227230429649353
1970-03-24T00:00:00Z,-41.419,145.67,0.0
1970-03-25T00:00:00Z,-41.419,145.67,0.0
1970-03-26T00:00:00Z,-41.419,145.67,0.0
1970-03-27T00:00:00Z,-41.419,145.67,2.9944963455200195
1970-03-28T00:00:00Z,-41.419,145.67,2.1009562015533447
1970-03-29T00:00:00Z,-41.419,145.67,4.281381607055664
1970-03-30T00:00:00Z,-41.419,145.67,2.690751075744629
1970-03-31T00:00:00Z,-41.419,145.67,1.6712234020233154
1970-04-01T00:00:00Z,-41.419,145.67,0.14626704156398773
1970-04-02T00:00:00Z,-41.419,145.67,2.7980258464813232
1970-04-03T00:00:00Z,-41.419,145.67,5.3989763259887695
1970-04-04T00:00:00Z,-41.419,145.67,5.437411785125732
1970-04-05T00:00:00Z,-41.419,145.67,11.095230102539062
1970-04-06T00:00:00Z,-41.419,145.67,6.59717321395874
1970-04-07T00:00:00Z,-41.419,145.67,2.2025160789489746
1970-04-08T00:00:00Z,-41.419,145.67,0.0
1970-04-09T00:00:00Z,-41.419,145.67,0.0
1970-04-10T00:00:00Z,-41.419,145.67,0.0
1970-04-11T00:00:00Z,-41.419,145.67,0.5097775459289551
1970-04-12T00:00:00Z,-41.419,145.67,3.141599655151367
1970-04-13T00:00:00Z,-41.419,145.67,3.1214206218719482
1970-04-14T00:00:00Z,-41.419,145.67,4.614190578460693
1970-04-15T00:00:00Z,-41.419,145.67,5.545535087585449
1970-04-16T00:00:00Z,-41.419,145.67,0.0
1970-04-17T00:00:00Z,-41.419,145.67,0.0
1970-04-18T00:00:00Z,-41.419,145.67,1.4686856269836426
1970-04-19T00:00:00Z,-41.419,145.67,0.0
1970-04-20T00:00:00Z,-41.419,145.67,1.7455843687057495
1970-04-21T00:00:00Z,-41.419,145.67,14.370089530944824
1970-04-22T00:00:00Z,-41.419,145.67,37.73819351196289
1970-04-23T00:00:00Z,-41.419,145.67,8.10521125793457
1970-04-24T00:00:00Z,-41.419,145.67,3.4434189796447754
1970-04-25T00:00:00Z,-41.419,145.67,20.673221588134766
1970-04-26T00:00:00Z,-41.419,145.67,10.875489234924316
1970-04-27T00:00:00Z,-41.419,145.67,41.593055725097656
1970-04-28T00:00:00Z,-41.419,145.67,10.387968063354492
1970-04-29T00:00:00Z,-41.419,145.67,3.592839479446411
1970-04-30T00:00:00Z,-41.419,145.67,1.6699166297912598
1970-05-01T00:00:00Z,-41.419,145.67,0.9653515219688416
1970-05-02T00:00:00Z,-41.419,145.67,4.653419494628906
1970-05-03T00:00:00Z,-41.419,145.67,28.902311325073242
1970-05-04T00:00:00Z,-41.419,145.67,3.4052469730377197
1970-05-05T00:00:00Z,-41.419,145.67,7.777735233306885
1970-05-06T00:00:00Z,-41.419,145.67,12.761734962463379
