Date,Q
11/11/67,0
12/11/67,0
13/11/67,0
14/11/67,0
15/11/67,0
16/11/67,0
17/11/67,0
18/11/67,0
19/11/67,0
20/11/67,0
21/11/67,0
22/11/67,0
23/11/67,0
24/11/67,0
25/11/67,0
26/11/67,0
27/11/67,0
28/11/67,0
29/11/67,0
30/11/67,0
1/12/67,0
2/12/67,0
3/12/67,0
4/12/67,0
5/12/67,0
6/12/67,0
7/12/67,0
8/12/67,0
9/12/67,0
10/12/67,0
11/12/67,0
12/12/67,0
13/12/67,0
14/12/67,0
15/12/67,0
16/12/67,0
17/12/67,0
18/12/67,0
19/12/67,41.5208
20/12/67,19.0638
21/12/67,4.5067
22/12/67,0.13763
23/12/67,61.6114
24/12/67,34.0799
25/12/67,26.1528
26/12/67,54.519
27/12/67,60.8872
28/12/67,51.9945
29/12/67,45.6586
30/12/67,37.5258
31/12/67,34.0799
1/01/68,32.4326
2/01/68,28.3169
3/01/68,22.0371
4/01/68,19.8713
5/01/68,18.0676
6/01/68,20.2334
7/01/68,22.0371
8/01/68,16.5692
9/01/68,263.636
10/01/68,385.594
11/01/68,157.078
12/01/68,227.647
13/01/68,180.863
14/01/68,78.8137
15/01/68,59.6241
16/01/68,224.332
17/01/68,104.939
18/01/68,580.584
19/01/68,471.393
20/01/68,870.383
21/01/68,626.807
22/01/68,1065.15
23/01/68,1035.06
24/01/68,488.444
25/01/68,680.697
26/01/68,5620.88
27/01/68,1105.71
28/01/68,838.644
29/01/68,784.924
30/01/68,971.448
31/01/68,1725.5
1/02/68,816.68
2/02/68,589.713
3/02/68,550.443
4/02/68,565.709
5/02/68,554.999
6/02/68,1069.83
7/02/68,1028.47
8/02/68,999.345
9/02/68,885.53
10/02/68,807.874
11/02/68,716.261
12/02/68,813.79
13/02/68,1179.68
14/02/68,724.03
15/02/68,694.722
16/02/68,2197.93
17/02/68,1999.37
18/02/68,1023.86
19/02/68,2439.67
20/02/68,5442.55
21/02/68,8478.41
22/02/68,2795.99
23/02/68,1483.44
24/02/68,974.321
25/02/68,727.056
26/02/68,598.009
27/02/68,506.583
28/02/68,430.117
29/02/68,368.577
1/03/68,369.716
2/03/68,859.928
3/03/68,537.71
4/03/68,514.148
5/03/68,748.782
6/03/68,910.741
7/03/68,879.121
8/03/68,692.75
9/03/68,442.238
10/03/68,334.237
11/03/68,283.033
12/03/68,1345.31
13/03/68,1593.89
14/03/68,634.338
15/03/68,474.351
16/03/68,383.282
17/03/68,327.114
