"year","Station","flow","rain"
1970,"COTT",457.843436923077,0
1971,"COTT",391.669872307692,0
1972,"COTT",251.447547692308,0
1973,"COTT",358.695005846154,0
1974,"COTT",852.407858461538,1830.8
1975,"COTT",551.784156923077,1294.3
1976,"COTT",329.675723846154,1042.1
1977,"COTT",258.333731538462,936.4
1978,"COTT",614.483062,1382.8
1979,"COTT",150.961183846154,746.9
1980,"COTT",140.428240461538,1005.2
1981,"COTT",331.40498,1451.8
1982,"COTT",49.167917,530.4
1983,"COTT",461.722473776923,1639.9
1984,"COTT",577.728447692308,1325.5
1985,"COTT",235.751166384615,1032.4
1986,"COTT",306.207764538462,1076.9
1987,"COTT",190.83231,1001.9
1988,"COTT",446.244002461538,1377.1
1989,"COTT",631.563067692308,1338.1
1990,"COTT",503.336029230769,1093.8
1991,"COTT",360.722906692308,1151.8
1992,"COTT",569.376366923077,1515.8
1993,"COTT",396.093995384615,1223.2
1994,"COTT",161.86231,726.9
1995,"COTT",424.099898461538,1261
1996,"COTT",395.386689230769,1312.2
1997,"COTT",157.021137692308,807.5
1998,"COTT",279.170208538462,1083.5
1999,"COTT",194.555903076923,1140.5
2000,"COTT",297.534782307692,1051.6
2001,"COTT",200.221340769231,704
2002,"COTT",183.286927692308,253
2003,"COTT",270.423451538462,775.8
2004,"COTT",195.822933846154,716
2005,"COTT",280.938123076923,498.2
2006,"COTT",66.7108103076923,24.6
2007,"COTT",105.068376946154,802.8
2008,"COTT",160.412652307692,867.6
2009,"COTT",145.473612076923,689.8
2010,"COTT",495.458907230769,1495.1
1970,"RUTH",462.72616,1002.8
1971,"RUTH",1059.99886285714,1292.6
1972,"RUTH",239.279802142857,536.4
1973,"RUTH",227.465416428571,793.1
1974,"RUTH",1652.76964928571,1397.2
1975,"RUTH",1352.13056714286,1253.8
1976,"RUTH",1061.32566428571,1118.4
1977,"RUTH",324.173796428571,450.6
1978,"RUTH",1431.24160571429,1306.4
1979,"RUTH",406.907757857143,596.6
1980,"RUTH",97.4234742857143,484.8
1981,"RUTH",248.880325,715.5
1982,"RUTH",105.4824985,307
1983,"RUTH",539.625777357143,1065.8
1984,"RUTH",759.463130714286,929.6
1985,"RUTH",673.534697142857,1090
1986,"RUTH",227.02232,437.8
1987,"RUTH",113.136742857143,570.2
1988,"RUTH",799.389319285714,1197.2
1989,"RUTH",741.287127857143,992.5
1990,"RUTH",622.142845,968.6
1991,"RUTH",997.3836,1188.7
1992,"RUTH",695.576693571429,1174.2
1993,"RUTH",286.514664285714,622
1994,"RUTH",74.573531,488.5
1995,"RUTH",180.787032142857,713.2
1996,"RUTH",221.184110714286,569
1997,"RUTH",300.630804285714,796.8
1998,"RUTH",231.544136428571,709.6
1999,"RUTH",261.154572142857,693.4
2000,"RUTH",299.652308571429,804.6
2001,"RUTH",391.784155714286,747.8
2002,"RUTH",256.197499285714,414.4
2003,"RUTH",110.485404642857,556.2
2004,"RUTH",81.1661922142857,560.1
2005,"RUTH",165.695766857143,689.6
2006,"RUTH",88.5332917857143,441.7
2007,"RUTH",240.435335357143,855
2008,"RUTH",76.3791501428571,466.2
2009,"RUTH",27.9976555714286,371.1
2010,"RUTH",371.922724,1012.4
1970,"CORA",166.429226626506,637.1
1971,"CORA",247.45982813253,693.8
1972,"CORA",179.63814060241,578.5
1973,"CORA",191.889594819277,798.8
1974,"CORA",970.177741927711,1378
1975,"CORA",784.972671325301,1133.7
1976,"CORA",722.224640963855,1082.5
1977,"CORA",208.464608580723,518.2
1978,"CORA",1007.10633951807,1371.1
1979,"CORA",150.217546600964,484.5
1980,"CORA",48.2087469037349,486.3
1981,"CORA",192.554738019325,710.9
1982,"CORA",49.9431397428916,350.9
1983,"CORA",244.930265674819,899.3
1984,"CORA",580.837458433735,1140.5
1985,"CORA",419.282954518072,829.8
1986,"CORA",225.955334819277,673.5
1987,"CORA",221.252033554217,831.9
1988,"CORA",516.99009753012,1160
1989,"CORA",618.406263554217,1021
1990,"CORA",576.491592228916,881
1991,"CORA",319.722717864699,834.3
1992,"CORA",321.208094939759,852.6
1993,"CORA",132.551182710843,648.1
1994,"CORA",81.8160447084337,510.2
1995,"CORA",225.274686566265,608.8
1996,"CORA",223.378080120482,710
1997,"CORA",283.31223313253,621
1998,"CORA",447.946996144651,793.2
1999,"CORA",344.363829939759,756.5
2000,"CORA",132.254477048193,720.3
2001,"CORA",246.427996144578,856.5
2002,"CORA",93.8379648563855,532
2003,"CORA",153.740828059036,640.8
2004,"CORA",77.1087818433735,635
2005,"CORA",177.547660843373,751.6
2006,"CORA",81.4578913493976,564.6
2007,"CORA",456.305248652289,938
2008,"CORA",114.064252590361,643.1
2009,"CORA",47.3527147721687,538.1
2010,"CORA",243.569308626506,949.5
1970,"ELIZ",147.298136682292,440.4
1971,"ELIZ",465.510064175,1793.2
1972,"ELIZ",555.495010270833,860
1973,"ELIZ",713.6692149375,2199.7
1974,"ELIZ",1185.58186065625,1734.3
1975,"ELIZ",1242.20482840938,644.9
1976,"ELIZ",904.15123954375,164.7
1977,"ELIZ",1011.67548132573,2281.3
1978,"ELIZ",273.62651478125,1399.1
1979,"ELIZ",412.287354786458,708.6
1980,"ELIZ",602.204204020833,1622.5
1981,"ELIZ",637.292175246875,1928
1982,"ELIZ",510.801488888021,1512.1
1983,"ELIZ",138.0588515625,1873.4
1984,"ELIZ",745.518266709375,2223.2
1985,"ELIZ",239.268707895833,1551.5
1986,"ELIZ",292.880383625,1396.4
1987,"ELIZ",219.2387509375,1450.9
1988,"ELIZ",444.341835479167,2127.5
1989,"ELIZ",875.986714979167,1412.2
1990,"ELIZ",134.830558778125,1332.7
1991,"ELIZ",646.579762014583,2128.3
1992,"ELIZ",79.1815734479167,1638.9
1993,"ELIZ",472.6106395625,1859.7
1994,"ELIZ",460.064384429167,1536.4
1995,"ELIZ",1000.32360792708,2174.7
1996,"ELIZ",624.387676729167,1800.2
1997,"ELIZ",1522.686260625,2699.1
1998,"ELIZ",1010.99734661458,2880.7
1999,"ELIZ",883.739148385417,2161.3
2000,"ELIZ",935.8243345625,2490.9
2001,"ELIZ",495.623070833333,2161.8
2002,"ELIZ",401.01790071875,1335
2003,"ELIZ",948.549509197917,2286
2004,"ELIZ",878.37054,1642.2
2005,"ELIZ",202.95378846875,1426.1
2006,"ELIZ",1146.35135854167,1937.3
2007,"ELIZ",787.143150609375,2245.3
2008,"ELIZ",818.650184333854,1667.8
2009,"ELIZ",632.649423354167,1561.5
2010,"ELIZ",668.956197145833,1875.7
1970,"COCH",1255.48399894737,2297.3
1971,"COCH",2395.52456421053,2841
1972,"COCH",2419.07837578947,2801
1973,"COCH",2362.26498,3735.7
1974,"COCH",2861.00878,2826.1
1975,"COCH",1959.67265368421,3499
1976,"COCH",2009.49630631579,2097.5
1977,"COCH",3809.49718421053,4123.8
1978,"COCH",991.614308421053,2028.6
1979,"COCH",3053.49418631579,4129.5
1980,"COCH",1219.53072315789,2454
1981,"COCH",2291.26634736842,3300
1982,"COCH",1894.14258421053,2504.7
1983,"COCH",1034.15020105263,2002.8
1984,"COCH",1344.10534315789,2447.6
1985,"COCH",1534.21554526316,2899.2
1986,"COCH",1936.98583157895,2623.1
