"year","Station","flow","rain"
1970,"COTT",457.843436923077,1118.69185900595
1971,"COTT",391.669872307692,1013.16116627678
1972,"COTT",251.447547692308,701.463138616178
1973,"COTT",358.695005846154,1176.0069594793
1974,"COTT",852.407858461538,1418.28709361175
1975,"COTT",551.784156923077,1283.93032257841
1976,"COTT",329.675723846154,941.675841827877
1977,"COTT",258.333731538462,859.444209549576
1978,"COTT",614.483062,1396.06324201706
1979,"COTT",150.961183846154,734.3590132799
1980,"COTT",140.428240461538,957.380572395807
1981,"COTT",331.40498,1171.12742336467
1982,"COTT",49.167917,504.461531895213
1983,"COTT",461.722473776923,1266.2071701996
1984,"COTT",577.728447692308,1165.60991500888
1985,"COTT",235.751166384615,889.238251436036
1986,"COTT",306.207764538462,911.551544696558
1987,"COTT",190.83231,864.958287084475
1988,"COTT",446.244002461538,1282.90099243121
1989,"COTT",631.563067692308,1179.14014707506
1990,"COTT",503.336029230769,1015.21641749889
1991,"COTT",360.722906692308,1052.81569451932
1992,"COTT",569.376366923077,1293.67604758078
1993,"COTT",396.093995384615,1076.63183219871
1994,"COTT",161.86231,723.415188547689
1995,"COTT",424.099898461538,1199.71604341455
1996,"COTT",395.386689230769,1191.74348381255
1997,"COTT",157.021137692308,757.052386213094
1998,"COTT",279.170208538462,888.873139355157
1999,"COTT",194.555903076923,1002.19795924425
2000,"COTT",297.534782307692,939.658100712113
2001,"COTT",200.221340769231,817.562821582076
2002,"COTT",183.286927692308,776.684949724004
2003,"COTT",270.423451538462,818.786297305487
2004,"COTT",195.822933846154,766.400834902655
2005,"COTT",280.938123076923,911.315089894924
2006,"COTT",66.7108103076923,459.05550615536
2007,"COTT",105.068376946154,830.109367869794
2008,"COTT",160.412652307692,828.031950325239
2009,"COTT",145.473612076923,773.19134019874
2010,"COTT",495.458907230769,1280.15039278567
1970,"RUTH",462.72616,920.779177683406
1971,"RUTH",1059.99886285714,854.483934579883
1972,"RUTH",239.279802142857,497.061968796887
1973,"RUTH",227.465416428571,710.618404330686
1974,"RUTH",1652.76964928571,1235.49412514037
1975,"RUTH",1352.13056714286,1191.91923623183
1976,"RUTH",1061.32566428571,929.545906679705
1977,"RUTH",324.173796428571,496.169543282595
1978,"RUTH",1431.24160571429,1256.03714435175
1979,"RUTH",406.907757857143,460.677294055931
1980,"RUTH",97.4234742857143,486.097186163999
1981,"RUTH",248.880325,704.671647113748
1982,"RUTH",105.4824985,344.570788053796
1983,"RUTH",539.625777357143,928.372919974732
1984,"RUTH",759.463130714286,867.26729879342
1985,"RUTH",673.534697142857,928.989596541971
1986,"RUTH",227.02232,449.037046404323
1987,"RUTH",113.136742857143,523.628744162619
1988,"RUTH",799.389319285714,1087.31744418526
1989,"RUTH",741.287127857143,894.448949391255
1990,"RUTH",622.142845,774.200936770532
1991,"RUTH",997.3836,1099.90627046302
1992,"RUTH",695.576693571429,1051.3049409244
1993,"RUTH",286.514664285714,574.589830944315
1994,"RUTH",74.573531,552.516423087567
1995,"RUTH",180.787032142857,766.278280016501
1996,"RUTH",221.184110714286,596.503632824868
1997,"RUTH",300.630804285714,699.230215255171
1998,"RUTH",231.544136428571,603.487438756041
1999,"RUTH",261.154572142857,615.558238498867
2000,"RUTH",299.652308571429,618.122136152815
2001,"RUTH",391.784155714286,883.48086171411
2002,"RUTH",256.197499285714,469.657549730502
2003,"RUTH",110.485404642857,597.777088794857
2004,"RUTH",81.1661922142857,547.500978228636
2005,"RUTH",165.695766857143,740.795356097631
2006,"RUTH",88.5332917857143,478.990265278146
2007,"RUTH",240.435335357143,863.502044548281
2008,"RUTH",76.3791501428571,448.817227093037
2009,"RUTH",27.9976555714286,440.413350526476
2010,"RUTH",371.922724,976.259630822577
1970,"CORA",166.429226626506,704.433785106754
1971,"CORA",247.45982813253,621.587290892377
1972,"CORA",179.63814060241,523.287681721151
1973,"CORA",191.889594819277,716.181463435758
1974,"CORA",970.177741927711,1124.06076804549
1975,"CORA",784.972671325301,1003.82690914255
1976,"CORA",722.224640963855,960.474803937599
1977,"CORA",208.464608580723,491.247391868383
1978,"CORA",1007.10633951807,1160.16320298763
1979,"CORA",150.217546600964,442.352227605879
1980,"CORA",48.2087469037349,409.887239921838
1981,"CORA",192.554738019325,599.84799313359
1982,"CORA",49.9431397428916,277.781528895954
1983,"CORA",244.930265674819,783.522217331454
1984,"CORA",580.837458433735,993.902248216327
1985,"CORA",419.282954518072,695.345008855686
1986,"CORA",225.955334819277,593.387877535541
1987,"CORA",221.252033554217,718.891137972474
1988,"CORA",516.99009753012,1023.76897550747
1989,"CORA",618.406263554217,957.492415182292
1990,"CORA",576.491592228916,839.685795155936
1991,"CORA",319.722717864699,795.098062577192
1992,"CORA",321.208094939759,764.261149429716
1993,"CORA",132.551182710843,602.707576259971
1994,"CORA",81.8160447084337,479.312385488302
1995,"CORA",225.274686566265,604.11230612779
1996,"CORA",223.378080120482,643.754893772304
1997,"CORA",283.31223313253,578.828751500696
1998,"CORA",447.946996144651,672.225324448198
1999,"CORA",344.363829939759,694.353957124986
2000,"CORA",132.254477048193,592.434354552999
2001,"CORA",246.427996144578,728.784853113815
2002,"CORA",93.8379648563855,494.653947833925
2003,"CORA",153.740828059036,590.910138165113
2004,"CORA",77.1087818433735,546.29092043126
2005,"CORA",177.547660843373,684.902315344196
2006,"CORA",81.4578913493976,478.239495505579
2007,"CORA",456.305248652289,840.380574278359
2008,"CORA",114.064252590361,568.744560355786
2009,"CORA",47.3527147721687,463.017236461397
2010,"CORA",243.569308626506,766.311398962513
1970,"ELIZ",147.298136682292,1131.56988812843
1971,"ELIZ",465.510064175,1590.83055111207
1972,"ELIZ",555.495010270833,1225.58151841164
1973,"ELIZ",713.6692149375,1951.18171713687
1974,"ELIZ",1185.58186065625,2118.09052415937
1975,"ELIZ",1242.20482840938,1512.35110025946
1976,"ELIZ",904.15123954375,1350.92103279755
1977,"ELIZ",1011.67548132573,1614.62985305488
1978,"ELIZ",273.62651478125,1273.52863804251
1979,"ELIZ",412.287354786458,1119.31359090842
1980,"ELIZ",602.204204020833,1402.92981734872
1981,"ELIZ",637.292175246875,1676.39044057671
1982,"ELIZ",510.801488888021,1151.09899910609
1983,"ELIZ",138.0588515625,1288.28077234305
1984,"ELIZ",745.518266709375,1657.82556562498
1985,"ELIZ",239.268707895833,1106.47573790699
1986,"ELIZ",292.880383625,1242.05351983756
1987,"ELIZ",219.2387509375,1478.81893475214
1988,"ELIZ",444.341835479167,1563.86060417982
1989,"ELIZ",875.986714979167,1337.08629837632
1990,"ELIZ",134.830558778125,1356.58056215569
1991,"ELIZ",646.579762014583,1539.88636730611
1992,"ELIZ",79.1815734479167,1015.49128141627
1993,"ELIZ",472.6106395625,1329.26545406552
1994,"ELIZ",460.064384429167,1261.12071633432
1995,"ELIZ",1000.32360792708,1965.70823806152
1996,"ELIZ",624.387676729167,1733.15326244198
1997,"ELIZ",1522.686260625,2150.93957661465
1998,"ELIZ",1010.99734661458,2184.6252284364
1999,"ELIZ",883.739148385417,1796.11500186846
2000,"ELIZ",935.8243345625,1895.79395858664
2001,"ELIZ",495.623070833333,1492.50780362636
2002,"ELIZ",401.01790071875,1161.21059597936
2003,"ELIZ",948.549509197917,1974.48300012946
2004,"ELIZ",878.37054,1544.27104124986
2005,"ELIZ",202.95378846875,1078.08599162847
2006,"ELIZ",1146.35135854167,1852.18460781872
2007,"ELIZ",787.143150609375,1907.94792866707
2008,"ELIZ",818.650184333854,1639.48290997744
2009,"ELIZ",632.649423354167,1594.18381263595
2010,"ELIZ",668.956197145833,1876.81962481141
1970,"COCH",1255.48399894737,1992.98393304646
1971,"COCH",2395.52456421053,2176.13673255313
1972,"COCH",2419.07837578947,2635.76161985192
1973,"COCH",2362.26498,3163.35571623594
1974,"COCH",2861.00878,2710.04319814127
