"Date","Decade","Station","Flow","Rain","MaxT","gridRain"
1970-01-08,"70_80","COTT",6.61064307692308,0,141.5,71.2448596954346
1970-01-15,"70_80","COTT",4.06052,0,178.1,11.0087764263153
1970-01-22,"70_80","COTT",3.23454,0,190.4,10.7618201375008
1970-01-29,"70_80","COTT",3.25986,0,190.5,18.2347846031189
1970-02-05,"70_80","COTT",2.37553,0,191.1,0.217110931873322
1970-02-12,"70_80","COTT",1.8842,0,224.8,5.63900136947632
1970-02-19,"70_80","COTT",2.74595,0,183,20.4444689154625
1970-02-26,"70_80","COTT",2.24777,0,178.2,18.584875702858
1970-03-05,"70_80","COTT",1.8897,0,161.4,2.35910439491272
1970-03-12,"70_80","COTT",1.86027,0,172,8.39071011543274
1970-03-19,"70_80","COTT",1.49776,0,163.4,4.23750305175781
1970-03-26,"70_80","COTT",2.1698,0,137.1,34.1934807300568
1970-04-02,"70_80","COTT",2.00585,0,146.2,13.0028816312551
1970-04-09,"70_80","COTT",1.7131,0,150.6,0
1970-04-16,"70_80","COTT",1.95496,0,160.7,30.6538301408291
1970-04-23,"70_80","COTT",1.56914,0,168.1,2.60800671577454
1970-04-30,"70_80","COTT",5.21349846153846,0,120.1,74.3834247589111
1970-05-07,"70_80","COTT",2.98134,0,106.9,3.83758962154388
1970-05-14,"70_80","COTT",2.46318,0,105.7,7.13736537098885
1970-05-21,"70_80","COTT",3.3308,0,92.1,30.1678745150566
1970-05-28,"70_80","COTT",2.728,0,99.1,1.26299774646759
1970-06-04,"70_80","COTT",3.884,0,94.8,17.8920448720455
1970-06-11,"70_80","COTT",3.13502,0,84.8,5.35840353369713
1970-06-18,"70_80","COTT",4.27357846153846,0,79.5,37.1111135482788
1970-06-25,"70_80","COTT",4.03318,0,90.4,1.80095708370209
1970-07-02,"70_80","COTT",4.19239,0,92.7,15.0906445980072
1970-07-09,"70_80","COTT",6.80913307692308,0,84.9,12.9611893892288
1970-07-16,"70_80","COTT",4.53854,0,69.2,0.500559754669666
1970-07-23,"70_80","COTT",3.80762,0,83.3,5.44473189115524
1970-07-30,"70_80","COTT",3.4521,0,99.2,0.293811429291964
1970-08-06,"70_80","COTT",4.26598307692308,0,85.2,29.1623503565788
1970-08-13,"70_80","COTT",4.60328,0,85.3,14.3657732009888
1970-08-20,"70_80","COTT",4.67056,0,74.9,12.1621910482645
